US Election,GE11,GE12,GE13S,GE13,GE14,GE15
18,,,,,11783,5312
4629,,,,,9469,24986
899,,,,,2839,14979
90,,,,,212,14426
24,,,,,65,33650
128230,,,,,13007,23881
87888,,,,,5892,22292
3469,,,,,996,269
1026,,,,,284,140
3880,,,,,273,75
995,,,,,246,36636
70,,,,,17799,17382
29,,,,,17121,17222
6180,,,,,1223,1900
3011,,,,,12976,19961
137,,,,,8357,18616
45,,,,,980,14581
19258,,,,,948,25740
7682,,,,,19094,23719
614,,,,,8996,13495
209,,,,,14465,18911
317327,,,,,4987,15948
207535,,,,,2066,11833
7009,,,,,26809,23242
3404,,,,,6135,19242
6443,,,,,384,18475
2832,,,,,98,305
161,,,,,21400,45242
58,,,,,16673,29270
1577,,,,,2518,24309
360,,,,,2162,410
30,,,,,18486,263
9,,,,,15299,18312
1584,,,,,2813,16491
342,,,,,311,9077
23,,,,,,251
6,,,,,,18312
13535,,,,,,16491
3794,,,,,,9077
222,,,,,,251
72,,,,,,49801
3013,,,,,,23395
758,,,,,,22021
82,,,,,,404
23,,,,,,22572
2698,,,,,,11692
576,,,,,,6666
44,,,,,,21066
11,,,,,,18729
11269,,,,,,6813
1855,,,,,,209
162,,,,,,89
48,,,,,,21185
14704,,,,,,18194
3399,,,,,,11618
250,,,,,,353
64,,,,,,25410
1985,,,,,,17020
441,,,,,,4903
18,,,,,,21738
6,,,,,,16728
20221,,,,,,3374
5323,,,,,,83959
481,,,,,,53239
128,,,,,,30767
9239,,,,,,71233
1795,,,,,,39675
196,,,,,,37369
46,,,,,,1003
7022,,,,,,43252
1889,,,,,,27211
168,,,,,,22075
39,,,,,,1855
12892,,,,,,64900
4920,,,,,,31726
364,,,,,,20677
105,,,,,,96819
7442,,,,,,36783
2121,,,,,,30078
241,,,,,,65529
74,,,,,,29506
4801,,,,,,20218
900,,,,,,23201
93,,,,,,17443
19,,,,,,15901
14715,,,,,,306
3577,,,,,,23593
317,,,,,,17233
87,,,,,,13762
869,,,,,,17274
205,,,,,,11794
19,,,,,,2311
2,,,,,,43739
7343,,,,,,5058
1181,,,,,,3012
122,,,,,,54745
31,,,,,,13382
107296,,,,,,1036
23380,,,,,,45353
1611,,,,,,16462
1104,,,,,,1760
3779,,,,,,39310
1668,,,,,,32152
209,,,,,,2291
2513,,,,,,42278
2078,,,,,,12833
